"transaction_amount","aux_mdr_fee","mdr_fee","gateway_fee","transaction_id","payment_method","installments_range","financial_operation_type","created_at","date","day_of_week","company_id","company_mcc","company_type","product_name","acquirer_name"
8000,192,192,0.0,c0cb6760a2,credit_card,a vista,capture,09:59:24,2020-09-09,3.0,"707f3fa3d265b9e","7372",outbound,psp,acquirer_3
8000,192,192,0.0,c0cb6760a2,credit_card,a vista,capture,09:59:23,2020-09-09,3.0,"707f3fa3d265b9e","7372",outbound,psp,pagarme
5500,0,0,-70.0,c1c504d314,credit_card,a vista,refund,15:00:25,2020-09-09,3.0,"79f540698e2d78a","5651",outbound,psp,acquirer_3
5500,-208,0,70.0,c1c504d314,credit_card,a vista,capture,14:58:55,2020-09-09,3.0,"79f540698e2d78a","5651",outbound,psp,pagarme
5500,0,0,-70.0,c1c504d314,credit_card,a vista,refund,15:00:25,2020-09-09,3.0,"79f540698e2d78a","5651",outbound,psp,pagarme
5500,-208,0,70.0,c1c504d314,credit_card,a vista,capture,14:58:56,2020-09-09,3.0,"79f540698e2d78a","5651",outbound,psp,acquirer_3
39999,153,153,15.0,c2cafaf5a7,credit_card,"7-12",capture,10:54:23,2020-09-09,3.0,a1c2f57e42dd0b9,"5311",outbound,psp,pagarme
39999,153,153,15.0,c2cafaf5a7,credit_card,"7-12",capture,10:54:23,2020-09-09,3.0,a1c2f57e42dd0b9,"5311",outbound,psp,acquirer_3
24600,541,541,120.0,c4bb9b9cbf,credit_card,a vista,capture,14:58:42,2020-09-09,3.0,"457043ec07a8a9a","5699",outbound,psp,pagarme
24600,541,541,120.0,c4bb9b9cbf,credit_card,a vista,capture,14:58:43,2020-09-09,3.0,"457043ec07a8a9a","5699",outbound,psp,acquirer_3
9500,157,157,0.0,c5997b611a,debit_card,a vista,capture,13:21:52,2020-09-09,3.0,"707f3fa3d265b9e","7372",outbound,psp,acquirer_3
9500,157,157,0.0,c5997b611a,debit_card,a vista,capture,13:21:52,2020-09-09,3.0,"707f3fa3d265b9e","7372",outbound,psp,pagarme
3000,65,65,23.0,c5a7a4bf70,credit_card,a vista,capture,14:57:54,2020-09-09,3.0,f6c53fe8ae4c2b9,"8299",outbound,psp,acquirer_3
3000,65,65,23.0,c5a7a4bf70,credit_card,a vista,capture,14:57:53,2020-09-09,3.0,f6c53fe8ae4c2b9,"8299",outbound,psp,pagarme
15704,0,0,-0.0,c603a9f142,credit_card,"2-6",refund,14:20:09,2020-09-16,3.0,"9e026289ebcc450","5199",inbound,psp,pagarme
15704,0,0,-0.0,c603a9f142,credit_card,"2-6",refund,14:20:09,2020-09-16,3.0,"9e026289ebcc450","5199",inbound,psp,acquirer_3
15704,-415,0,0.0,c603a9f142,credit_card,"2-6",capture,14:46:31,2020-09-09,3.0,"9e026289ebcc450","5199",inbound,psp,pagarme
15704,-415,0,0.0,c603a9f142,credit_card,"2-6",capture,14:46:31,2020-09-09,3.0,"9e026289ebcc450","5199",inbound,psp,acquirer_3
402000,1585,1585,114.0,c65e0190c3,credit_card,"7-12",capture,14:54:47,2020-09-09,3.0,"14b6bcae0620490","5712",inbound,psp,pagarme
402000,1585,1585,114.0,c65e0190c3,credit_card,"7-12",capture,14:54:48,2020-09-09,3.0,"14b6bcae0620490","5712",inbound,psp,acquirer_3
32930,273,273,65.0,c6ceab8c28,credit_card,"2-6",capture,14:55:06,2020-09-09,3.0,"5d65dede69dbbf5","5047",inbound,psp,pagarme
32930,273,273,65.0,c6ceab8c28,credit_card,"2-6",capture,14:55:06,2020-09-09,3.0,"5d65dede69dbbf5","5047",inbound,psp,acquirer_3
16110,262,262,80.0,c71700acad,credit_card,"2-6",capture,14:55:49,2020-09-09,3.0,d3c3bb63c95d441,"5651",inbound,psp,pagarme
16110,262,262,80.0,c71700acad,credit_card,"2-6",capture,14:55:50,2020-09-09,3.0,d3c3bb63c95d441,"5651",inbound,psp,acquirer_3
3190,86,86,20.0,c76dc7a3d8,credit_card,a vista,capture,14:57:28,2020-09-09,3.0,"2cf6b3c3099a8ef","4816",inbound,psp,acquirer_3
3190,86,86,20.0,c76dc7a3d8,credit_card,a vista,capture,14:57:27,2020-09-09,3.0,"2cf6b3c3099a8ef","4816",inbound,psp,pagarme
900,24,24,0.0,c7a31ddf2a,credit_card,a vista,capture,14:58:39,2020-09-09,3.0,cca9aaa0189bdf3,"5969",outbound,psp,pagarme
900,24,24,0.0,c7a31ddf2a,credit_card,a vista,capture,14:58:40,2020-09-09,3.0,cca9aaa0189bdf3,"5969",outbound,psp,acquirer_3
22500,-610,0,40.0,c81a550a9d,credit_card,"2-6",capture,14:58:16,2020-09-09,3.0,"4a4b3506a7b8593","5199",inbound,psp,pagarme
22500,-610,0,40.0,c81a550a9d,credit_card,"2-6",capture,14:58:18,2020-09-09,3.0,"4a4b3506a7b8593","5199",inbound,psp,acquirer_3
22500,0,0,-40.0,c81a550a9d,credit_card,"2-6",refund,10:50:23,2020-09-10,4.0,"4a4b3506a7b8593","5199",inbound,psp,acquirer_3
22500,0,0,-40.0,c81a550a9d,credit_card,"2-6",refund,10:50:21,2020-09-10,4.0,"4a4b3506a7b8593","5199",inbound,psp,pagarme
40482,329,329,80.0,cc5217e447,credit_card,"2-6",capture,14:58:56,2020-09-09,3.0,"422c038915fc6d2","5651",outbound,psp,pagarme
40482,329,329,80.0,cc5217e447,credit_card,"2-6",capture,14:58:58,2020-09-09,3.0,"422c038915fc6d2","5651",outbound,psp,acquirer_3
25449,122,122,66.0,cc781ed8b5,credit_card,"2-6",capture,14:57:36,2020-09-09,3.0,"7944be796d29841","5441",outbound,psp,acquirer_3
25449,122,122,66.0,cc781ed8b5,credit_card,"2-6",capture,14:57:34,2020-09-09,3.0,"7944be796d29841","5441",outbound,psp,pagarme
17704,75,75,80.0,cca4a54a17,credit_card,"2-6",capture,14:55:08,2020-09-09,3.0,"852d29346e0e61a","5499",inbound,psp,acquirer_3
17704,75,75,80.0,cca4a54a17,credit_card,"2-6",capture,14:55:06,2020-09-09,3.0,"852d29346e0e61a","5499",inbound,psp,pagarme
79532,,0,20.0,ced0b64b1f,credit_card,a vista,capture,15:22:02,2020-09-09,3.0,dc984ecf72ebcaa,"8999",outbound,gateway,acquirer_2
5961,185,185,120.0,d2c4199c19,credit_card,a vista,capture,14:59:45,2020-09-09,3.0,db28faaff8f50fa,"5651",outbound,psp,pagarme
5961,185,185,120.0,d2c4199c19,credit_card,a vista,capture,14:59:46,2020-09-09,3.0,db28faaff8f50fa,"5651",outbound,psp,acquirer_3
73344,0,0,-0.0,d3ae197038,credit_card,a vista,refund,19:13:08,2020-09-09,3.0,dc984ecf72ebcaa,"8999",outbound,gateway,acquirer_2
73344,,0,0.0,d3ae197038,credit_card,a vista,capture,15:07:22,2020-09-09,3.0,dc984ecf72ebcaa,"8999",outbound,gateway,acquirer_2
45597,579,579,120.0,d47239e070,credit_card,"2-6",capture,14:59:52,2020-09-09,3.0,c3ff5514ce7fc27,"5046",inbound,psp,pagarme
45597,579,579,120.0,d47239e070,credit_card,"2-6",capture,14:59:53,2020-09-09,3.0,c3ff5514ce7fc27,"5046",inbound,psp,acquirer_3
23250,111,111,20.0,d4c8ccc920,credit_card,"2-6",capture,14:58:29,2020-09-09,3.0,"9b0609add3fd7f1","5999",outbound,psp,acquirer_3
